성구분,카테고리명,상품명,CategoryID,ProductID,pink_cossim,blue_cossim,파일명
girl,girl-RolePlay,영실업 콩순이숫자놀이계산대,C10100020001,8801198033113,0.344181239320213,-0.6031513785536721,C10100020001-8801198033113.png
girl,girl-Deco,얼굴인형 샐리헤어핀 (집게형),C10100020003,8809174571918,0.4696858220363577,-0.24127069736640933,C10100020003-8809174571918.png
boy,boy-Car/Train,[고위/GOWI] 자이언트트럭,C10100030004,L000000576766,-0.018371153061571114,-0.34528835255424223,C10100030004-L000000576766.png
girl,girl-Doll,[오지돌스] 핑크주방세트,C10100020002,L000002760618,0.6649363161485209,-0.5326415028631207,C10100020002-L000002760618.png
boy,boy-Action,트레져 요괴메달02,C10100030002,8809482994119,0.3979654625957324,-0.17653745806688487,C10100030002-8809482994119.png
boy,boy-RolePlay,카봇 스마트폰,C10100030001,8809466690099,0.10672410667908351,-0.00955832817243919,C10100030001-8809466690099.png
girl,girl-Doll,[d]무민(moomin) 라잉 봉제인형-55cm/무민인형,C10100020002,L000000534691,0.3365340170254279,-0.21857432046479355,C10100020002-L000000534691.png
girl,girl-Doll,바바 야외가구,C10100020002,0887961392111,0.4580802554507408,-0.17957330279627715,C10100020002-0887961392111.png
boy,boy-Car/Train,[브루더] 벤츠 아록스 시멘트 믹서,C10100030004,L000000520871,0.5293784291207407,0.3100471260755019,C10100030004-L000000520871.png
boy,boy-Figure,포켓몬콜렉션 EMC 19 따라큐,C10100030005,4904810968542,-0.26879736865227205,-0.0365841049061002,C10100030005-4904810968542.png
boy,boy-Figure,파자마삼총사 켓카,C10100030005,0886144245763,-0.08506771260644198,-0.26755533626015765,C10100030005-0886144245763.png
girl,girl-Doll,영실업 LOL서프라이즈펫3 시즌2,C10100020002,8801198082340,0.476394938859336,-0.39735638064982715,C10100020002-8801198082340.png
boy,boy-Car/Train,토미카 닛산파이어커맨드카 (01),C10100030004,4904810879398,0.6442688199380042,-0.10834691717013523,C10100030004-4904810879398.png
girl,girl-RolePlay,맥스터핀스 호스피탈 의사가운세트,C10100020001,0886144901263,0.5316825229677324,-0.2685863700510344,C10100020001-0886144901263.png
boy,boy-Figure,심슨 바니토킹피겨,C10100030005,9317454743232,0.242610611898792,-0.08151782524747263,C10100030005-9317454743232.png
boy,boy-Action,고고다이노 사운드변신토모,C10100030002,8809174678303,-0.2218940112268548,0.060035683288815846,C10100030002-8809174678303.png
girl,girl-Doll,실바니안 해변프렌즈(5232),C10100020002,5054131052327,0.05485017920028986,0.2357716413249594,C10100020002-5054131052327.png
boy,boy-RolePlay,세븐나이츠 프로즌하츠,C10100030001,8809336150500,-0.26818171504415517,0.1585052114836427,C10100030001-8809336150500.png
girl,girl-DIY,마이 스티커 메이커,C10100020004,8809482994485,0.12574718201931756,-0.771163003114532,C10100020004-8809482994485.png
boy,boy-Action,[슐라이히] 스누피시리즈 매력적인 벨,C10100030002,L000001408279,0.38916040414375336,-0.3032702834668102,C10100030002-L000001408279.png
girl,girl-RolePlay,[고위/GOWI] 과자만들기소꿉놀이세트(그린) 52피스,C10100020001,L000000576772,0.18397543460122043,-0.6704964304321065,C10100020001-L000000576772.png
boy,boy-Car/Train,헬로키티 캠핑카,C10100030004,8809061428745,0.4221739404337908,-0.6169435681647838,C10100030004-8809061428745.png
girl,girl-Doll,코코몽 가방고리,C10100020002,8809182321772,0.6596723844874652,-0.5501907066190761,C10100020002-8809182321772.png
girl,girl-RolePlay,[멜리사앤더그] 부엌,C10100020001,L000000553473,0.42048551322256855,0.2039730951801034,C10100020001-L000000553473.png
girl,girl-Doll,마이리틀포니 드레스룸,C10100020002,0630509616596,0.011476260981270277,-0.7605315256749527,C10100020002-0630509616596.png
girl,girl-Deco,뿌띠슈 쥬시글로스 #03 시크릿오렌지,C10100020003,8809571130565,0.39660648370011486,-0.4039556342991232,C10100020003-8809571130565.png
